name,link,price,kraj,region,apelacja,winnica,rodzaj wina,smak,styl,grona,pojemność,temperatura podawania,wysyłka w ciągu,rocznik,rocznik2,zawartość alkoholu,producent,medale,medale2,grona2,grona3,grona4,czy winnica bio,bio,grona5,grona6,grona7,bio2,wino wegańskie,oceny prasy,wine spectator,rodzaj wina2,zawartość alkoholu2,falstaff,bio3,grona8,guia penin,james suckling,medale3,alkohol zawartość,objętość,rocznik3,temperatura podawania2,wino koszerne,region2,ilość win,grona9,grona10,grona11,grona12,grona13
Bodegas Fariña Tinto Dulce Val de Reyes Roble Castilla VdT NV,https://www.wina.pl/slodkie/3663-bodegas-farina-tinto-dulce-val-de-reyes-roble-castilla-vdt.html,"139,00 zł",Hiszpania,Kastylia (Castilla y Leon),Castilla VdT,,czerwone,słodkie,pełne,Tempranillo,500 ml,16-18 st.C,3 dni ( dni robocze ),NV,,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bodegas Fontana Mesta Blanco Verdejo, Uclés DO 2021",https://www.wina.pl/organiczne/4027-bodegas-fontana-mesta-blanco-verdejo-ucles-do.html,"39,00 zł",Hiszpania,Kastylia (Castilla y Leon),Uclés DO,,białe,wytrawne,lekkie,Verdejo,750 ml,8 st.C,3 dni ( dni robocze ),2021,,12.5%,,,,,,,tak – uprawa ograniczna/naturalna,organiczne,,,,,tak,,,,,,,,,,,,,,,,,,,,,,
"Bodegas Fontana Mesta Tinto Tempranillo, Uclés DO 2021",https://www.wina.pl/organiczne/4026-bodegas-fontana-mesta-tinto-tempranillo-ucles-do.html,"39,00 zł",Hiszpania,Kastylia (Castilla y Leon),Uclés DO,,czerwone,wytrawne,średnie,Tempranillo,750 ml,15 st.C,3 dni ( dni robocze ),2021,,13.5%,,,,,,,tak – uprawa ograniczna/naturalna,organiczne,,,,,tak,,,,,,,,,,,,,,,,,,,,,,
"Bodegas Fontana Oveja Blanca Moscatel, Uclés DO 2021",https://www.wina.pl/organiczne/4023-bodegas-fontana-oveja-blanca-moscatel-ucles-do.html,"59,00 zł",Hiszpania,Kastylia (Castilla y Leon),Uclés DO,,białe,wytrawne,lekkie,Moscatel,750 ml,9 st.C,3 dni ( dni robocze ),2021,,12%,,,,,,,tak – uprawa ograniczna/naturalna,organiczne,,,,,tak,,,,,,,,,,,,,,,,,,,,,,
"Bodegas Fontana Oveja Tinta, Uclés DO 2019",https://www.wina.pl/organiczne/4025-bodegas-fontana-oveja-tinta-ucles-do.html,"59,00 zł",Hiszpania,Kastylia (Castilla y Leon),Uclés DO,,czerwone,wytrawne,średnie,Graciano,750 ml,16 st.C,3 dni ( dni robocze ),2019,,14.5%,,,,Malbec,,,tak – uprawa ograniczna/naturalna,organiczne,,,,,tak,,,,,,,,,,,,,,,,,,,,,,
Bodegas Navajas ANTONIO NAVAJAS 100 Rioja DOC 2015,https://www.wina.pl/wina-czerwone-wytrawne/3664-bodegas-navajas-antonio-navajas-100-rioja-doc.html,"259,00 zł",Hiszpania,Rioja,Rioja DOC,,czerwone,wytrawne,pełne,Graciano,750 ml,16-18 st.C,3 dni ( dni robocze ),2015,,14.5%,,,,Tempranillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodegas Navajas Blanco Joven Rioja DOC 2021,https://www.wina.pl/wina-biale-wytrawne/3668-bodegas-navajas-blanco-joven-rioja-doc.html,"41,00 zł",Hiszpania,Rioja,Rioja DOC,,białe,wytrawne,lekkie,Viura,750 ml,10 st.C,3 dni ( dni robocze ),2021,,12%,,,,Sauvignon Blanc,Tempranillo Blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodegas Navajas Garnacha Rioja DOC 2020,https://www.wina.pl/wina-czerwone-wytrawne/3665-bodegas-navajas-garnacha-rioja-doc.html,"59,00 zł",Hiszpania,Rioja,Rioja DOC,,czerwone,wytrawne,pełne,Garnacha,750 ml,16-18 st.C,3 dni ( dni robocze ),2020,,14.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodegas Navajas Graciano Joven Rioja DOC 2020,https://www.wina.pl/wina-czerwone-wytrawne/3666-bodegas-navajas-graciano-joven-rioja-doc.html,"55,00 zł",Hiszpania,Rioja,Rioja DOC,,czerwone,wytrawne,pełne,Graciano,750 ml,16-18 st.C,3 dni ( dni robocze ),2020,,14.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodegas Navajas Gran Reserva Rioja DOC 2014,https://www.wina.pl/wina-czerwone-wytrawne/3667-bodegas-navajas-gran-reserva-rioja-doc.html,"151,00 zł",Hiszpania,Rioja,Rioja DOC,,czerwone,wytrawne,pełne,Graciano,750 ml,16-18 st.C,3 dni ( dni robocze ),2014,,14%,,,,Tempranillo,Mazuelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodegas Olarra Cerro Anon Crianza Rioja DOCa 2019,https://www.wina.pl/wina-czerwone-wytrawne/2653-bodegas-olarra-cerro-anon-crianza-rioja-doca.html,"76,00 zł",Hiszpania,,,Bodegas Olarra,czerwone,wytrawne,,Tempranillo,750 ml,,24 h ( w dni robocze ),2019,,13.5%,,Bruxela Złoto,IWC Silver,Mazuelo,Graciano,,,,,,,,,,,,,,,,,,Mundus Vini Gold,,,,,,,,,,,,
Bodegas Olarra Cerro Anon Gran Reserva Rioja DOCa 2016,https://www.wina.pl/wina-czerwone-wytrawne/2057-bodegas-olarra-cerro-anon-gran-reserva-rioja-doca.html,"125,00 zł",Hiszpania,,,Bodegas Olarra,czerwone,wytrawne,,Tempranillo,,,3 dni ( dni robocze ),2016,,,,Decanter Gold,IWC Gold,Mazuelo,Graciano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodegas Olarra Cerro Anon Reserva Rioja DOCa 2018,https://www.wina.pl/wina-czerwone-wytrawne/2058-bodegas-olarra-cerro-anon-reserva-rioja-doca-.html,"89,00 zł",Hiszpania,,,Bodegas Olarra,czerwone,wytrawne,średnie,Tempranillo,750 ml,,24 h ( w dni robocze ),2018,,14%,,Mundus Vini Gold,,Mazuelo,Graciano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodegas Olarra La Catedral Blanco Rioja DOCa 2020,https://www.wina.pl/wina-biale-wytrawne/2059-bodegas-olarra-la-catedral-blanco-rioja-doca.html,"52,00 zł",Hiszpania,Rioja,Rioja DOC,Bodegas Olarra,białe,wytrawne,,Viura,750 ml,,3 dni ( dni robocze ),2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodegas Olarra La Catedral Tinto Rioja DOCa 2021,https://www.wina.pl/wina-czerwone-wytrawne/2060-bodegas-olarra-la-catedral-tinto-rioja-doca.html,"52,00 zł",Hiszpania,Rioja,Rioja DOC,Bodegas Olarra,czerwone,wytrawne,,Garnacha,750 ml,,3 dni ( dni robocze ),2021,,,,,,Tempranillo,Mazuelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borgo Molino Corte Delle Rose bianco Frizzante,https://www.wina.pl/wina-musujace/2872-borgo-molino-corte-delle-rose-bianco-frizzante.html,"47,00 zł",Włochy,Veneto,Veneto IGT,Borgo Molino,musujące,półwytrawne,lekkie,Prosecco,750 ml,7 st.C,24 h ( w dni robocze ),,,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borgo Scopeto Borgonero Toscana IGT 2020,https://www.wina.pl/wina-czerwone-wytrawne/3859-borgo-scopeto-borgonero-toscana-igt.html,"123,00 zł",Włochy,Toskania,Toscana IGT,,czerwone,wytrawne,pełne,Cabernet Sauvignon,750 ml,16 st.C,3 dni ( dni robocze ),2020,,13.5%,,,,Sangiovese,Syrah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borgo Scopeto Chianti Classico DOCG 2019,https://www.wina.pl/wina-czerwone-wytrawne/3860-borgo-scopeto-chianti-classico-docg.html,"98,00 zł",Włochy,Toskania,Chianti Classico DOCG,,czerwone,wytrawne,średnie,Sangiovese,750 ml,16 st.C,3 dni ( dni robocze ),2019,,13%,,Mundus Vini Silver,,,,,,,,,,,,,,,,falstaff 90,,,,92 pkt,,,,,,,,,,,,,
Bortolin Dry Prosecco Cartizze DOCG,https://www.wina.pl/musujace/2975-bortolin-dry-prosecco-cartizze-docg.html,"139,00 zł",Włochy,Veneto,Prosseco Cartizze DOCG,Bortolin,musujące,wytrawne,średnie,Glera,750 ml,9 st.C,24 h ( w dni robocze ),,,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botromagno Negroamaro Murgia IGT 2019,https://www.wina.pl/czerwone/3256-botromagno-negroamaro-murgia-igt.html,"73,00 zł",Włochy,Apulia,Murgia IGT,,czerwone,wytrawne,pełne,Negroamaro,750 ml,16-18 st.C,3 dni ( dni robocze ),2019,,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botromagno Primitivo Puglia IGT 2021,https://www.wina.pl/czerwone/3257-botromagno-primitivo-puglia-igt.html,"77,00 zł",Włochy,Apulia,Puglia IGT,,czerwone,wytrawne,pełne,Primitivo,750 ml,16-18 st.C,3 dni ( dni robocze ),2021,,14%,,,,,,,tak – uprawa ograniczna/naturalna,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottega Vinai Muller Thurgau Trentino DOC 2022,https://www.wina.pl/wina-biale-wytrawne/2743-bottega-vinai-muller-thurgau-trentino-doc.html,"74,00 zł",Włochy,Trentino Alto Adige,Trentino DOC,CAVIT Cantina Viticoltori del Trentino,białe,wytrawne,,Müller Thurgau,750 ml,,3 dni ( dni robocze ),2022,,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottega Vinai Pinot Grigio Trentino DOC 2020,https://www.wina.pl/wina-biale-wytrawne/2147-bottega-vinai-pinot-grigio-trentino-doc.html,"73,00 zł",Włochy,Trentino Alto Adige,Trentino DOC,CAVIT Cantina Viticoltori del Trentino,białe,wytrawne,,Pinot Grigio,750 ml,10 st.C,3 dni ( dni robocze ),2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottega Vinai Sauvignon Blanc Trentino DOC 2022,https://www.wina.pl/wina-biale-wytrawne/2148-bottega-vinai-sauvignon-blanc-trentino-doc.html,"76,00 zł",Włochy,Trentino Alto Adige,Trentino DOC,CAVIT Cantina Viticoltori del Trentino,białe,wytrawne,,Sauvignon Blanc,750 ml,12 st.C,3 dni ( dni robocze ),2022,,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottega Vinai Teroldego Rotaliano DOC 2020,https://www.wina.pl/wina/2149-bottega-vinai-teroldego-rotaliano-doc.html,"78,00 zł",Włochy,Trentino Alto Adige,Teroldego Rotaliano DOC,CAVIT Cantina Viticoltori del Trentino,czerwone,wytrawne,,Teroldego,750 ml,,3 dni ( dni robocze ),2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouvet Excellence Crémant de Loire Brut Rosé,https://www.wina.pl/wina-musujace/3008-bouvet-excellence-cremant-de-loire-brut-rose.html,"99,90 zł",Francja,Dolina Loary,,Bouvet-Ladubay,musujące,wytrawne,średnie,Cabernet Franc,750 ml,7 st.C,3 dni ( dni robocze ),,,12.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brancaia Chianti Classico Riserva DOCG 2018,https://www.wina.pl/czerwone/3231-brancaia-chianti-classico-riserva-docg.html,"250,00 zł",Włochy,Toskania,Chianti Classico DOCG,,czerwone,wytrawne,pełne,Sangiovese,750 ml,16 st.C,3 dni ( dni robocze ),2018,,13.5%,,,,Merlot,,,,,,,,,,,,,,falstaff 93,,,,,,,,,,,,,,,,,
Brancaia TRE Toscana IGT 2019,https://www.wina.pl/czerwone/3232-brancaia-tre-toscana-igt.html,"139,00 zł",Włochy,Toskania,Toscana IGT,,czerwone,wytrawne,średnie,Cabernet Sauvignon,750 ml,12-14 st.C,3 dni ( dni robocze ),2019,,13.5%,,,,Sangiovese,Merlot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branco Quinta da Alorna 2020,https://www.wina.pl/wina-biale-wytrawne/1589-branco-quinta-da-alorna.html,"45,00 zł",Portugalia,Alentejo,Vinho Regional Tejo,Quinta Da Alorna,białe,wytrawne,lekkie,Arinto,750 ml,10-12 st.C,24 h ( w dni robocze ),2020,,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bressan Carat Venezia Giulia IGT 2020,https://www.wina.pl/naturalne/2906-bressan-carat-venezia-giulia-igt.html,"259,00 zł",Włochy,Friuli,Venezia Gulia IGT,Bressan,białe,wytrawne,średnie,Malvasia Istriana,750 ml,8-10 st.C,3 dni ( dni robocze ),2020,,13%,,,,Tokai Friulano,Ribolla Gialla,,tak – uprawa ograniczna/naturalna,naturalne,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bressan Grigio in Grigio Venezia Giulia IGT 2017,https://www.wina.pl/naturalne/2908-bressan-grigio-in-grigio-venezia-giulia-igt.html,"314,00 zł",Włochy,Friuli,Venezia Gulia IGT,Bressan,białe,wytrawne,średnie,Pinot Grigio,750 ml,10-12 st.C,3 dni ( dni robocze ),2017,,13%,,,,,,,tak – uprawa ograniczna/naturalna,naturalne,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bressan Verduzzo Friulano Venezia Giulia IGT 2017,https://www.wina.pl/naturalne/2907-bressan-verduzzo-friulano-venezia-giulia-igt.html,"269,00 zł",Włochy,Friuli,Venezia Gulia IGT,Bressan,białe,wytrawne,średnie,Verduzzo Friulano,750 ml,8-10 st.C,3 dni ( dni robocze ),2017,,13.5%,,,,,,,tak – uprawa ograniczna/naturalna,naturalne,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bründlmayer Grüner Veltliner Alte Reben Kamptal DAC 2020,https://www.wina.pl/organiczne/3323-bruendlmayer-gruener-veltliner-alte-reben-kamptal-dac.html,"309,00 zł",Austria,Kamptal,Kamptal DAC,,białe,,pełne,Grüner Veltliner,750 ml,8 st.C,3 dni ( dni robocze ),2020,,12.5%,,,,,,,tak – uprawa ograniczna/naturalna,organiczne,,,,,tak,,,,,falstaff 94,,,,,,,,,,,,,,,,,
Bründlmayer Grüner Veltliner Landwein 2021,https://www.wina.pl/organiczne/3316-bruendlmayer-gruener-veltliner-landwein.html,"69,00 zł",Austria,Kamptal,,,białe,,lekkie,Grüner Veltliner,750 ml,8 st.C,3 dni ( dni robocze ),2021,,12%,,,,,,,tak – uprawa ograniczna/naturalna,organiczne,,,,,tak,,,,,,,,,,,,,,,,,,,,,,
Bründlmayer Grüner Veltliner Terrassen Kamptal DAC 2022,https://www.wina.pl/organiczne/3317-bruendlmayer-gruener-veltliner-terrassen-kamptal-dac.html,"132,00 zł",Austria,Kamptal,Kamptal DAC,,białe,,średnie,Grüner Veltliner,750 ml,8 st.C,3 dni ( dni robocze ),2022,,12%,,,,,,,tak – uprawa ograniczna/naturalna,organiczne,,,,,tak,,,,,falstaff 91,,,,,,,,,,,,,,,,,
Bründlmayer Pinot Noir Kamptal DAC 2018,https://www.wina.pl/organiczne/3328-bruendlmayer-pinot-noir-kamptal-dac.html,"215,00 zł",Austria,Kamptal,Kamptal DAC,,czerwone,,średnie,Pinot Noir,750 ml,15 st.C,3 dni ( dni robocze ),2018,,13%,,,,,,,tak – uprawa ograniczna/naturalna,organiczne,,,,,tak,,,,,falstaff 92,,,,,,,,,,,,,,,,,
Bründlmayer Riesling Ried Heiligenstein Erste Lage ÖTW Kamptal DAC 2020,https://www.wina.pl/organiczne/3320-bruendlmayer-riesling-ried-heiligenstein-erste-lage-oetw-kamptal-dac.html,"249,00 zł",Austria,Kamptal,Kamptal DAC,,białe,,średnie,Riesling,750 ml,8 st.C,3 dni ( dni robocze ),2020,,13%,,,,,,,tak – uprawa ograniczna/naturalna,organiczne,,,,,tak,,,,,falstaff 95,,,,,,,,,,,,,,,,,
Bründlmayer Riesling Ried Käferberg Erste Lage ÖTW Kamptal DAC 2020,https://www.wina.pl/organiczne/3321-bruendlmayer-riesling-ried-kaeferberg-erste-lage-oetw-kamptal-dac.html,"385,00 zł",Austria,Kamptal,Kamptal DAC,,białe,,pełne,Grüner Veltliner,750 ml,12 st.C,3 dni ( dni robocze ),2020,,13%,,,,,,,tak – uprawa ograniczna/naturalna,organiczne,,,,,tak,,,,,falstaff 94,,,,,,,,,,,,,,,,,
Bründlmayer Riesling Ried Steinmassl Erste Lage ÖTW Kamptal DAC 2020,https://www.wina.pl/organiczne/3319-bruendlmayer-riesling-ried-steinmassl-erste-lage-oetw-kamptal-dac.html,"179,00 zł",Austria,Kamptal,Kamptal DAC,,białe,,średnie,Riesling,750 ml,8-10 st.C,3 dni ( dni robocze ),2020,,12.5%,,,,,,,tak – uprawa ograniczna/naturalna,organiczne,,,,,tak,,,,,falstaff 94,,,,,,,,,,,,,,,,,
Bründlmayer Riesling Terrassen Kamptal DAC 2021,https://www.wina.pl/organiczne/3318-bruendlmayer-riesling-terrassen-kamptal-dac.html,"119,00 zł",Austria,Kamptal,Kamptal DAC,,białe,,średnie,Riesling,750 ml,8 st.C,3 dni ( dni robocze ),2021,,12.5%,,,,,,,tak – uprawa ograniczna/naturalna,organiczne,,,,,tak,,,,,falstaff 92,,,,,,,,,,,,,,,,,
Brunel de la Gardine Cairanne AOC 2020,https://www.wina.pl/wina-czerwone-wytrawne/3761-brunel-de-la-gardine-cairanne-aoc.html,"89,00 zł",Francja,Dolina Rodanu,Cairanne AOC,,czerwone,wytrawne,średnie,Syrah,750 ml,16-18 st.C,3 dni ( dni robocze ),2020,,15%,,,,Grenache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunel de la Gardine Côtes du Rhône Blanc AOC 2020,https://www.wina.pl/wina-biale-wytrawne/3767-brunel-de-la-gardine-cotes-du-rhone-blanc-aoc.html,"76,00 zł",Francja,Dolina Rodanu,Côtes du Rhone AOC,,białe,wytrawne,średnie,Grenache Blanc,750 ml,10 st.C,3 dni ( dni robocze ),2020,,13.5%,,,,Rousanne,Viognier,Clairette,,,Bourboulenc,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunel de la Gardine Côtes du Rhône Rouge AOC 2020,https://www.wina.pl/wina-czerwone-wytrawne/3766-brunel-de-la-gardine-cotes-du-rhone-rouge-aoc.html,"76,00 zł",Francja,Dolina Rodanu,Côtes du Rhone AOC,,czerwone,wytrawne,średnie,Grenache,750 ml,16-18 st.C,3 dni ( dni robocze ),2020,,14.5%,,,,Mourvedre / Monastrell,Syrah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunel de la Gardine Crozes-Hermitage AOP 2021,https://www.wina.pl/wina-czerwone-wytrawne/3764-brunel-de-la-gardine-crozes-hermitage-aop.html,"139,00 zł",Francja,Dolina Rodanu,Crozes-Hermitage AOP,,czerwone,wytrawne,średnie,Syrah,750 ml,16-18 st.C,3 dni ( dni robocze ),2021,,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunel de la Gardine Hermitage AOC 2020,https://www.wina.pl/wina-czerwone-wytrawne/3762-brunel-de-la-gardine-hermitage-aoc.html,"299,00 zł",Francja,Dolina Rodanu,Hermitage AOC,,czerwone,wytrawne,pełne,Marsanne,750 ml,16-18 st.C,3 dni ( dni robocze ),2020,,14%,,,,Syrah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunel de la Gardine Vacqueyras AOC 2020,https://www.wina.pl/wina-czerwone-wytrawne/3765-brunel-de-la-gardine-vacqueyras-aoc.html,"149,00 zł",Francja,Dolina Rodanu,Vacqueyras AOC,,czerwone,wytrawne,pełne,Grenache,750 ml,16-18 st.C,3 dni ( dni robocze ),2020,,15%,,,,Mourvedre / Monastrell,Syrah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunello di Montalcino Capanna 2015,https://www.wina.pl/wina-czerwone-wytrawne/2577--brunello-di-montalcino-capanna.html,"309,00 zł",Włochy,Toskania,Brunello di Montalcino DOCG,Capanna,czerwone,wytrawne,pełne,Sangiovese,750 ml,18 st.C,24 h ( w dni robocze ),2015,,14.5%,,,,,,,,,,,,,,Robert Parker 92,,,,,,,,,,,,,,,,,,,,,
Brunello di Montalcino Casanova di Neri 2018 2017,https://www.wina.pl/wina-czerwone-wytrawne/407-brunello-di-montalcino-casanova-di-neri.html,"339,00 zł",Włochy,Toskania,Brunello di Montalcino DOCG,Casanova di Neri,czerwone,wytrawne,pełne,Sangiovese,750 ml,18 st.C,24 h ( w dni robocze ),2018,2017.0,,,,,,,,,,,,,,,Robert Parker 94,,,,,,,,,,,,,,,,,,,,,
Brunello di Montalcino Fattoria dei Barbi 2016,https://www.wina.pl/wina-czerwone-wytrawne/1514-brunello-di-montalcino-fattoria-dei-barbi.html,"352,00 zł",Włochy,Toskania,Brunello di Montalcino DOCG,Fattoria dei Barbi,czerwone,wytrawne,średnie,Sangiovese,750 ml,18 st.C,3 dni ( dni robocze ),2016,,14.5%,,,,,,,,,,,,,,Robert Parker 94,95 pkt,,,,,,,,,,,,,,,,,,,,
Brunello di Montalcino Riserva Capanna 2013,https://www.wina.pl/wina-czerwone-wytrawne/2927-brunello-di-montalcino-riserva-capanna.html,"649,00 zł",Włochy,Toskania,Brunello di Montalcino DOCG,Capanna,czerwone,wytrawne,pełne,Sangiovese,750 ml,20 st.C,24 h ( w dni robocze ),2013,,14.5%,,,,,,,,,,,,,,Robert Parker 95,93 pkt,,,,,,,,,,,,,,,,,,,,
Brunello di Montalcino Riserva Capanna 2012,https://www.wina.pl/wina-czerwone-wytrawne/162-brunello-di-montalcino-riserva-capanna.html,"679,00 zł",Włochy,Toskania,Brunello di Montalcino DOCG,Capanna,czerwone,wytrawne,pełne,Sangiovese,750 ml,20 st.C,24 h ( w dni robocze ),2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunello di Montalcino Riserva DOCG Il Poggione 2015,https://www.wina.pl/wina-czerwone-wytrawne/1659-brunello-di-montalcino-riserva-docg-il-poggione.html,"465,00 zł",Włochy,Toskania,Brunello di Montalcino DOCG,Tenuta Il Poggione,czerwone,wytrawne,pełne,Sangiovese,750 ml,18 st.C,24 h ( w dni robocze ),2015,,14.5%,,,,,,,,,,,,,,Robert Parker 97,95 pkt,,,falstaff 96,,,,,,,,,,,,,,,,,
Brunello Tenuta Nuova Casanova di Neri 2018,https://www.wina.pl/wina-czerwone-wytrawne/449-brunello-tenuta-nuova-casanova-di-neri.html,"815,00 zł",Włochy,Toskania,Brunello di Montalcino DOCG,Casanova di Neri,czerwone,wytrawne,pełne,Sangiovese,750 ml,18 st.C,3 dni ( dni robocze ),2018,,15%,,Tre Bicchieri Gambero Rosso,,,,,,,,,,,,Robert Parker 95,93 pkt,,,falstaff 98,,,,96 pkt,,,,,,,,,,,,,
"Brut Reserve Billecart-Salmon Magnum 1,5L",https://www.wina.pl/szampany/2729-brut-reserve-billecart-salmon-magnum-15l.html,"699,00 zł",Francja,Szampania,Champagne AOC,Billecart-Salmon,szampan,wytrawne,średnie,Chardonnay,"1,5 L",6-10 st.C,24 h ( w dni robocze ),,,12%,,,,Pinot Noir,Pinot Meunier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brut Rose Billecart-Salmon,https://www.wina.pl/szampany/1646-brut-rose-billecart-salmon-.html,"509,00 zł",Francja,Szampania,Champagne AOC,Billecart-Salmon,szampan,wytrawne,średnie,Chardonnay,750 ml,6-10 st.C,24 h ( w dni robocze ),,,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgarini Fior Di Lago Lombardia NV,https://www.wina.pl/wina-biale-wytrawne/4107-bulgarini-fior-di-lago-lombardia.html,"84,00 zł",Włochy,Lombardia,,Cantine Bulgarini,białe,wytrawne,,Sauvignon Blanc,750 ml,10 st.C,3 dni ( dni robocze ),NV,,12.5%,,,,Chardonnay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgarini Lugana 010 DOC 2020,https://www.wina.pl/wina-biale-wytrawne/2606-bulgarini-lugana-010-doc.html,"119,00 zł",Włochy,Veneto,Lugana DOC,Cantine Bulgarini,białe,wytrawne,,Verdicchio,750 ml,,3 dni ( dni robocze ),2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgarini Lugana DOC 2022,https://www.wina.pl/wina-biale-wytrawne/2089-bulgarini-lugana-doc.html,"104,00 zł",Włochy,Veneto,Lugana DOC,Cantine Bulgarini,białe,wytrawne,,Lugana,750 ml,,3 dni ( dni robocze ),2022,,,,Mundus Vini Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgarini Rosso Bruno Vino Rosso 2019,https://www.wina.pl/wina-czerwone-wytrawne/2090-bulgarini-rosso-bruno-vino-rosso.html,"106,00 zł",Włochy,Veneto,,Cantine Bulgarini,czerwone,wytrawne,,"Corvina, Cabernet Sauvignon, Merlot",750 ml,,3 dni ( dni robocze ),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca' Lojera Rosato Monte della Guardia Veneto VdT 2021,https://www.wina.pl/organiczne/3924-ca-lojera-rosato-monte-della-guardia-veneto-vdt.html,"109,00 zł",Włochy,Veneto,Vino da Tavola (VdT),,różowe,wytrawne,średnie,Merlot,750 ml,16 st.C,24 h ( w dni robocze ),2021,,13.5%,,,,Cabernet Sauvignon,,,tak – uprawa ograniczna/naturalna,organiczne,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet Cortis Winnica Srebrna Góra 2021,https://www.wina.pl/wina-czerwone-wytrawne/1474-cabernet-cortis-winnica-srebrna-gora.html,"73,00 zł",POLSKA,Małopolska,,Winnica Srebrna Góra,czerwone,wytrawne,średnie,Cabernet Cortis,750 ml,16 st.C,24 h ( w dni robocze ),2021,,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet Franc Jozsef Bock 2017,https://www.wina.pl/wina-czerwone-wytrawne/1556-cabernet-franc-jozsef-bock-.html,"92,00 zł",Węgry,Villanyi,,József Bock,czerwone,wytrawne,średnie,Cabernet Franc,750 ml,16 st.C,24 h ( w dni robocze ),2017,,14.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet Sauvignon Atilla Gere 2015,https://www.wina.pl/wina-czerwone-wytrawne/2631-cabernet-sauvignon-atilla-gere.html,"99,00 zł",Węgry,Villanyi,,Attila Gere,czerwone,wytrawne,średnie,Cabernet Sauvignon,750 ml,16 st.C,24 h ( w dni robocze ),2015,,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet Sauvignon Insigne Carmen 2018,https://www.wina.pl/wina-czerwone-wytrawne/3022-cabernet-sauvignon-insigne-carmen.html,"52,00 zł",Chile,Central Valley,,Carmen,czerwone,wytrawne,średnie,Cabernet Sauvignon,750 ml,16 st.C,3 dni ( dni robocze ),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabernet Sauvignon Premier 1850 Reserva Carmen 2017,https://www.wina.pl/wina-czerwone-wytrawne/3042-cabernet-sauvignon-premier-1850-reserva-carmen.html,"79,00 zł",Chile,Rapel Valley,,Carmen,czerwone,wytrawne,średnie,Cabernet Sauvignon,750 ml,16 st.C,3 dni ( dni robocze ),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
