name,link,price,kraj,region,apelacja,winnica,rodzaj wina,smak,styl,grona,pojemność,temperatura podawania,wysyłka w ciągu,rocznik,rocznik2,zawartość alkoholu,producent,medale,medale2,grona2,grona3,grona4,czy winnica bio,bio,grona5,grona6,grona7,bio2,wino wegańskie,oceny prasy,wine spectator,rodzaj wina2,zawartość alkoholu2,falstaff,bio3,grona8,guia penin,james suckling,medale3,alkohol zawartość,objętość,rocznik3,temperatura podawania2,wino koszerne,region2,ilość win,grona9,grona10,grona11,grona12,grona13
Achillée Alsace VdF 2020,https://www.wina.pl/naturalne/4133-achillee-alsace-vdf.html,"145,00 zł",Francja,Alzacja,Vin de France,Achillée,białe,wytrawne,średnie,Gewürztraminer,750 ml,10 st.C,24 h ( w dni robocze ),2020,,12%,,,,Sylvaner,Pinot Blanc,Muscat,tak – uprawa ograniczna/naturalna,organiczne,Auxerrois,Chasselas,Riesling,naturalne,,,,,,,,,,,,,,,,,,,,,,,
Achillée Crémant Soléra AOC Crémant d'Alsace NV,https://www.wina.pl/naturalne/4138-achillee-cremant-solera-aoc-cremant-d-alsace.html,"359,00 zł",Francja,Alzacja,Cremant d'Alsace AOC,Achillée,musujące,wytrawne,średnie,Pinot Gris,750 ml,9 st.C,3 dni ( dni robocze ),NV,,13.5%,,,,Sylvaner,,,tak – uprawa ograniczna/naturalna,organiczne,,,,naturalne,,,,,,,,,,,,,,,,,,,,,,,
Achillée Pépin Orange,https://www.wina.pl/naturalne/3118-achillee-pepin-orange.html,"145,00 zł",Francja,Alzacja,Vin de France,,białe,wytrawne,średnie,Sylvaner,750 ml,12 st.C,3 dni ( dni robocze ),,,13%,,,,Riesling,Pinot Gris,Pinot Blanc,,organiczne,Muscat,,,naturalne,,,,,,,,,,,,,,,,,,,,,,,
Achillée Pépin White,https://www.wina.pl/naturalne/3116-achillee-pepin-white.html,"119,00 zł",Francja,Alzacja,Vin de France,Achillée,białe,wytrawne,średnie,Pinot Gris,750 ml,12 st.C,3 dni ( dni robocze ),,,13%,,,,Chardonnay,,,,organiczne,,,,naturalne,,,,,,,,,,,,,,,,,,,,,,,
Achillée Pétillant Naturel AOC Alsace 2019,https://www.wina.pl/naturalne/4135-achillee-petillant-naturel-aoc-alsace.html,"129,00 zł",Francja,Alzacja,Alsace AOC,Achillée,musujące,wytrawne,średnie,Pinot Gris,750 ml,9 st.C,3 dni ( dni robocze ),2019,,13.5%,,,,Sylvaner,,,tak – uprawa ograniczna/naturalna,organiczne,,,,naturalne,,,,,,,,,,,,,,,,,,,,,,,
Achillée Pinot Noir Libre AOC Alsace 2020,https://www.wina.pl/naturalne/4136-achillee-pinot-noir-libre-aoc-alsace.html,"199,00 zł",Francja,Alzacja,Alsace AOC,,czerwone,wytrawne,średnie,Pinot Noir,750 ml,14 st.C,3 dni ( dni robocze ),2020,,13.5%,,,,,,,tak – uprawa ograniczna/naturalna,organiczne,,,,naturalne,,,,,,,,,,,,,,,,,,,,,,,
Achillée Riesling Grand Cru Frankstein AOP Alsace Grand Cru 2021,https://www.wina.pl/naturalne/4137-achillee-riesling-grand-cru-frankstein-aop-alsace-grand-cru.html,"285,00 zł",Francja,Alzacja,Alsace Grand Cru AOP,Achillée,białe,wytrawne,pełne,Riesling,750 ml,10 st.C,3 dni ( dni robocze ),2021,,13.5%,,,,,,,tak – uprawa ograniczna/naturalna,organiczne,,,,naturalne,,,,,,,,,,,,,,,,,,,,,,,
Achillée Scherwiller Riesling AOC Alsace 2021,https://www.wina.pl/naturalne/4139-achillee-scherwiller-riesling-aoc-alsace.html,"209,00 zł",Francja,Alzacja,Alsace AOC,Achillée,białe,wytrawne,pełne,Riesling,750 ml,10-12 st.C,3 dni ( dni robocze ),2021,,13.5%,,,,,,,tak – uprawa ograniczna/naturalna,organiczne,,,,naturalne,,,,,,,,,,,,,,,,,,,,,,,
Acordeon Torrontes 2017,https://www.wina.pl/wina-biale-wytrawne/1610-torrontes-acordeon-.html,"59,00 zł",Argentyna,Cafayate,,Finca N,białe,wytrawne,średnie,Torrontes,750 ml,10 st.C,,2017,,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acústic Auditori Montsant DO 2017,https://www.wina.pl/organiczne/3280-acustic-auditori-montsant-do.html,"345,00 zł",Hiszpania,Katalonia,Montsant DO,,czerwone,wytrawne,pełne,Garnacha,750 ml,15 st.C,3 dni ( dni robocze ),2017,,15%,,,,,,,tak – uprawa ograniczna/naturalna,,,,,,tak,Robert Parker 91,91 pkt,,,,,,,,,,,,,,,,,,,,
Acústic Blanc Montsant DO 2021,https://www.wina.pl/organiczne/3276-acustic-blanc-montsant-do.html,"116,00 zł",Hiszpania,Katalonia,Montsant DO,,białe,wytrawne,średnie,Macabeo,750 ml,10-12 st.C,3 dni ( dni robocze ),2021,,13.5%,,,,Garnacha Blanca,,,tak – uprawa ograniczna/naturalna,,,,,,tak,,,,,,,,,,,,,,,,,,,,,,
"Acústic Blanc Montsant DO magnum 1,5 L 2021",https://www.wina.pl/organiczne/3277-acustic-blanc-montsant-do-magnum-15-l.html,"219,00 zł",Hiszpania,Katalonia,Montsant DO,,białe,wytrawne,średnie,Macabeo,"1,5 L",10-12 st.C,3 dni ( dni robocze ),2021,,13.5%,,,,Garnacha Blanca,,,tak – uprawa ograniczna/naturalna,,,,,,tak,,,,,,,,,,,,,,,,,,,,,,
Acústic Negre Montsant DO 2019,https://www.wina.pl/organiczne/3278-acustic-negre-montsant-do.html,"116,00 zł",Hiszpania,Katalonia,Montsant DO,,czerwone,wytrawne,pełne,Garnacha,750 ml,15 st.C,3 dni ( dni robocze ),2019,,15%,,,,Carignan,,,tak – uprawa ograniczna/naturalna,,,,,,tak,Robert Parker 91,91 pkt,,,,,,,,,,,,,,,,,,,,
"Acústic Negre Montsant DO magnum 1,5 L 2019",https://www.wina.pl/organiczne/3279-acustic-negre-montsant-do-magnum-15-l.html,"234,00 zł",Hiszpania,Katalonia,Montsant DO,,czerwone,wytrawne,pełne,Garnacha,"1,5 L",16-18 st.C,3 dni ( dni robocze ),2019,,15%,,,,Carignan,,,tak – uprawa ograniczna/naturalna,,,,,,tak,Robert Parker 91,91 pkt,,,,,,,,,,,,,,,,,,,,
