country,gdp_per_capita (USD)
Austria,55060
Belgium,46421
Bulgaria,9828
Croation,14936
Cyprus,27858
Czech Republic,23495
Denmark,60170
Estonia,23723
Finland,48783
France,40494
Germany,46445
Greece,19583
Hungary,16732
Ireland,78661
Italy,33228
Latvia,17829
Lithuania,19602
Luxembourg,114705
Malta,29821
Netherlands,52331
Poland,13989
Portugal,23252
Romania,16222
Slovakia,19266
Slovenia,25946
Spain,29600
Sweden,51615
