name,link,price (PLN),country,region,appellation,vineyard,vintage,volume (liters),alcohol (%),serving temperature (C),color,kind,taste,style,medals,wegan,natural,punctation,grapes
Acordeon Torrontes,https://www.wina.pl/wina-biale-wytrawne/1610-torrontes-acordeon-.html,59.0,Argentyna,Cafayate,,Finca N,2017.0,0.75,14.0,10,białe,,wytrawne,średnie,,False,False,,Torrontes
Acústic Auditori Montsant DO,https://www.wina.pl/organiczne/3280-acustic-auditori-montsant-do.html,345.0,Hiszpania,Katalonia,Montsant DO,,2017.0,0.75,15.0,15,czerwone,,wytrawne,pełne,,True,True,91.0,Garnacha
Acústic Blanc Montsant DO,https://www.wina.pl/organiczne/3276-acustic-blanc-montsant-do.html,116.0,Hiszpania,Katalonia,Montsant DO,,2021.0,0.75,13.5,10-12,białe,,wytrawne,średnie,,True,True,,"Macabeo, Garnacha Blanca"
Acústic Blanc Montsant DO magnum,https://www.wina.pl/organiczne/3277-acustic-blanc-montsant-do-magnum-15-l.html,219.0,Hiszpania,Katalonia,Montsant DO,,2021.0,1.5,13.5,10-12,białe,,wytrawne,średnie,,True,True,,"Macabeo, Garnacha Blanca"
Acústic Negre Montsant DO,https://www.wina.pl/organiczne/3278-acustic-negre-montsant-do.html,116.0,Hiszpania,Katalonia,Montsant DO,,2019.0,0.75,15.0,15,czerwone,,wytrawne,pełne,,True,True,91.0,"Garnacha, Carignan"
Acústic Negre Montsant DO magnum,https://www.wina.pl/organiczne/3279-acustic-negre-montsant-do-magnum-15-l.html,234.0,Hiszpania,Katalonia,Montsant DO,,2019.0,1.5,15.0,16-18,czerwone,,wytrawne,pełne,,True,True,91.0,"Garnacha, Carignan"
Adami Bosco Di Gica Brut Valdobbiadene Prosecco Superiore DOCG,https://www.wina.pl/wina-musujace/1977-adami-bosco-di-gica-brut-valdobbiadene-prosecco-superiore-docg.html,118.0,Włochy,Veneto,Valdobbiadene Prosecco Superiore DOCG,Adami,2018.0,0.75,,8,białe,,,,,False,False,91.0,Prosecco
Adami Col Credas Extra Brut Valdobbiadene Prosecco Superiore DOCG,https://www.wina.pl/wina-musujace/2604-adami-col-credas-extra-brut-valdobbiadene-prosecco-superiore-docg.html,148.0,Włochy,Veneto,Valdobbiadene Prosecco Superiore DOCG,Adami,,0.75,,8,białe,,,,Tre Bicchieri Gambero Rosso,False,False,90.0,Prosecco
Adami Col Fondo / Sui Lieviti Brut Valdobbiadene Prosecco Superiore DOCG,https://www.wina.pl/wina-musujace/3909-adami-col-fondo-sui-lieviti-brut-valdobbiadene-prosecco-superiore-docg.html,114.0,Włochy,Veneto,Valdobbiadene Prosecco Superiore DOCG,Adami,,0.75,,8,białe,musujące,wytrawne,,,False,False,,Prosecco
Adami Garbel Brut Prosecco Treviso DOC,https://www.wina.pl/wina-musujace/2603-adami-garbel-brut-prosecco-treviso-doc.html,105.0,Włochy,Veneto,Prosecco Treviso DOC,Adami,,0.75,,8,białe,,,lekkie,,False,False,,Prosecco
Aia Vecchia Lagone Toscana IGT,https://www.wina.pl/czerwone/3237-aia-vecchia-lagone-toscana-igt.html,104.0,Włochy,Toskania,Toscana IGT,,2020.0,0.75,13.5,14,czerwone,,wytrawne,średnie,,False,False,,"Merlot, Cabernet Sauvignon, Cabernet Franc"
Aia Vecchia Lagone Toscana IGT magnum,https://www.wina.pl/czerwone/3238-aia-vecchia-lagone-toscana-igt-magnum-15-l.html,232.0,Włochy,Toskania,Toscana IGT,,2018.0,1.5,13.5,15,czerwone,,wytrawne,średnie,,False,False,,"Merlot, Cabernet Sauvignon, Cabernet Franc"
Aia Vecchia Sor Ugo Bolgheri DOC,https://www.wina.pl/czerwone/3239-aia-vecchia-sor-ugo-bolgheri-doc.html,240.0,Włochy,Toskania,Bolgheri DOC,,2019.0,0.75,15.0,16-18,czerwone,,wytrawne,pełne,,False,False,,"Merlot, Petit Verdot, Cabernet Sauvignon, Cabernet Franc"
Aia Vecchia Vermentino Toscana IGT,https://www.wina.pl/biale/3240-aia-vecchia-vermentino-toscana-igt.html,80.0,Włochy,Toskania,Toscana IGT,,2021.0,0.75,12.5,10,białe,,wytrawne,lekkie,,False,False,,"Vermentino, Viognier"
Alamos Cabernet Sauvignon Uco Valley,https://www.wina.pl/wina-czerwone-wytrawne/2637-alamos-cabernet-sauvignon-uco-valley.html,71.0,Argentyna,,,Bodegas Catena Zapata,2019.0,0.75,,,czerwone,,wytrawne,,,False,False,,Cabernet Sauvignon
Alamos Chardonnay Uco Valley,https://www.wina.pl/wina-biale-wytrawne/2636-alamos-chardonnay-uco-valley.html,71.0,Argentyna,Uco Valley,,Bodegas Catena Zapata,2020.0,0.75,,,białe,,wytrawne,,,False,False,,Chardonnay
Alamos Malbec Uco Valley,https://www.wina.pl/wina-czerwone-wytrawne/2638-alamos-malbec-uco-valley.html,71.0,Argentyna,,,Bodegas Catena Zapata,2021.0,0.75,,16-18,czerwone,,wytrawne,średnie,,False,False,90.0,Malbec
Alamos Torrontes Cafayate,https://www.wina.pl/wina-biale-wytrawne/2639-alamos-torrontes-cafayate.html,71.0,Argentyna,Cafayate,,Bodegas Catena Zapata,2020.0,0.75,13.0,10-12,białe,,wytrawne,,,False,False,,Torrontes
Alargo Assyrtiko Crete PGI,https://www.wina.pl/wina-biale-wytrawne/2811-alargo-assyrtiko-crete-pgi.html,114.0,Grecja,Kreta,Crete PGI,Douloufakis,2020.0,0.75,14.4,10,białe,,wytrawne,średnie,,False,False,,Assyrtiko
Alazani Valley Kakhuri Red,https://www.wina.pl/wina-czerwone-polslodkie/1939-alazani-valley-kakhuri-red.html,39.0,Gruzja,Kachetia,,Kakhuri,,0.75,11.0,16,czerwone,,półsłodkie,średnie,,False,False,,Saperavi
Alazani Valley Kakhuri White,https://www.wina.pl/wina-biale-polslodkie/2848-alazani-valley-kakhuri-white.html,35.0,Gruzja,Kachetia,,Kakhuri,,0.75,11.0,10-12,białe,,półsłodkie,średnie,,False,False,,"Mtswane, Rkatsiteli"
Albarino Vionta,https://www.wina.pl/wina-biale-wytrawne/1729-albarino-vionta-.html,65.0,Hiszpania,Galicja,Rias Baixas DO,,2020.0,0.75,13.0,10,białe,,wytrawne,średnie,,False,False,,Albarino
Albert Bichot Chablis blanc,https://www.wina.pl/wina/1838-albert-bichot-chablis-blanc.html,209.0,Francja,Burgundia,Chablis AOC,,2021.0,0.75,12.5,8-10,białe,,wytrawne,,,False,False,,Chardonnay
Albert Bichot Chardonnay Horizon de Bichot VdF Limoux,https://www.wina.pl/wina-biale-wytrawne/3739-albert-bichot-chardonnay-horizon-de-bichot-vdf-limoux.html,89.0,Francja,Langwedocja (Languedoc),,,2021.0,0.75,13.0,10,białe,,wytrawne,średnie,,False,False,,Chardonnay
Albert Bichot Chardonnay Secret de Famille Bourgogne AOC,https://www.wina.pl/wina-biale-wytrawne/3737-albert-bichot-chardonnay-secret-de-famille-bourgogne-aoc.html,179.0,Francja,Burgundia,Bourgogne AOC,,2020.0,0.75,12.5,10,białe,,wytrawne,średnie,,False,False,,Chardonnay
Albert Bichot Chassagne-Montrachet Rouge AOC,https://www.wina.pl/wina-czerwone-wytrawne/3733-albert-bichot-chassagne-montrachet-rouge-aoc.html,299.0,Francja,Burgundia,Chassagne-Montrachet AOC,,2020.0,0.75,13.5,16-18,czerwone,,wytrawne,średnie,,False,False,,Pinot Noir
Albert Bichot Petit Chablis AOC,https://www.wina.pl/wina-biale-wytrawne/3738-albert-bichot-petit-chablis-aoc.html,189.0,Francja,Burgundia,Petit Chablis AOC,,2021.0,0.75,12.5,10,białe,,wytrawne,średnie,,False,False,,Chardonnay
Albert Bichot Vieilles Vignes de Chardonnay Bourgogne AOC,https://www.wina.pl/wina-biale-wytrawne/3736-albert-bichot-vieilles-vignes-de-chardonnay-bourgogne-aoc.html,159.0,Francja,Burgundia,Bourgogne AOC,,2020.0,0.75,12.5,10,białe,,wytrawne,średnie,,False,False,,Chardonnay
Albert Bichot Vieilles Vignes de Pinot Noir Bourgogne AOC,https://www.wina.pl/wina-czerwone-wytrawne/3735-albert-bichot-vieilles-vignes-de-pinot-noir-bourgogne-aoc.html,165.0,Francja,Burgundia,Bourgogne AOC,,2020.0,0.75,12.5,16-18,czerwone,,wytrawne,średnie,,False,False,,Pinot Noir
Alberto Anguissola Casè Pinot Nero Emilia IGT,https://www.wina.pl/naturalne/3390-alberto-anguissola-case-pinot-nero-emilia-igt.html,139.0,Włochy,Emiglia Romana,Emilia IGT,,2018.0,,12.5,,czerwone,,wytrawne,lekkie,,True,True,,Pinot Nero
Alberto Anguissola Casèbianco Emilia IGT,https://www.wina.pl/naturalne/3392-alberto-anguissola-casebianco-emilia-igt.html,144.0,Włochy,Emiglia Romana,Emilia IGT,,2021.0,,11.5,,pomarańczowe,,wytrawne,lekkie,,True,True,,"Malvasia di Candia Aromatica, Ortugo, Sauvignon Blanc, Marsanne"
Alberto Anguissola Riva del Ciliegio Emilia IGT,https://www.wina.pl/naturalne/3391-alberto-anguissola-riva-del-ciliegio-emilia-igt.html,155.0,Włochy,Emiglia Romana,Emilia IGT,,2016.0,,12.5,,czerwone,,wytrawne,średnie,,True,True,,Pinot Nero
