name,link,price (PLN),country,region,appellation,vineyard,vintage,volume (liters),alcohol (%),serving temperature (C),color,kind,taste,style,medals,wegan,natural,punctation,grapes
Chapoutier Tradition Petite Ruche Rouge Crozes-Hermitage AOP,https://www.wina.pl/wina-czerwone-wytrawne/2663-chapoutier-tradition-petite-ruche-rouge-crozes-hermitage-aop.html,141.0,Francja,Dolina Rodanu,Crozes Hermitage AOC,Maison Michel Chapoutier,2020.0,0.75,13.0,16,czerwone,,wytrawne,,,False,False,,Syrah
Chapoutier Tradition Rouge Gigondas AOP,https://www.wina.pl/wina-czerwone-wytrawne/2664-chapoutier-tradition-rouge-gigondas-aop.html,149.0,Francja,Dolina Rodanu,Gigondas AOC,Maison Michel Chapoutier,2019.0,0.75,,16,czerwone,,wytrawne,pełne,,False,False,,"Grenache, Mourvedre / Monastrell, Syrah"
Chardonnay Alois Lageder Alto Adige DOC,https://www.wina.pl/wina-biale-wytrawne/2835-chardonnay-alois-lageder-alto-adige-doc.html,113.0,Włochy,Trentino Alto Adige,Alto Adige Chardonnay DOC,Alois Lageder,2020.0,0.75,,,białe,,wytrawne,,,False,True,,Chardonnay
Chardonnay Bouchard Aine & Fils,https://www.wina.pl/wina-biale-wytrawne/1586-chardonnay-bouchard-aine-fils.html,63.0,Francja,Langwedocja (Languedoc),Vin de Pays D Oc,Bouchard Aîné & Fils,2022.0,0.75,12.0,11,białe,,wytrawne,lekkie,,False,False,,Chardonnay
Chardonnay Deakin Estate,https://www.wina.pl/wina-biale-wytrawne/428-chardonnay-deakin-estate.html,48.0,Australia,Victoria,,Deakin Estate,2018.0,0.75,13.5,11,białe,,wytrawne,średnie,,True,False,,Chardonnay
Chardonnay I Sistri Fattoria di Felsina,https://www.wina.pl/wina-biale-wytrawne/167-chardonnay-i-sistri-fattoria-di-felsina.html,157.0,Włochy,Toskania,Toscana IGT,Fattoria Felsina,2020.0,0.75,,12,białe,,wytrawne,pełne,,False,False,,Chardonnay
Chardonnay Insigne Carmen,https://www.wina.pl/wina-biale-wytrawne/3024-chardonnay-insigne-carmen.html,52.0,Chile,Central Valley,,Falernia,2021.0,0.75,13.5,11,białe,,wytrawne,średnie,,False,False,,Chardonnay
Chardonnay Recanati,https://www.wina.pl/wina-biale-wytrawne/1700-chardonnay-recanati.html,95.0,Izrael,Galilea,,Recanati,2021.0,0.75,12.0,10-12,białe,,wytrawne,średnie,,True,False,,Chardonnay
Chardonnay St. Michael Eppan,https://www.wina.pl/wina-biale-wytrawne/2591-chardonnay-st-michael-eppan.html,79.0,Włochy,Trentino Alto Adige,Alto Adige Chardonnay DOC,St. Michael-Eppan,2020.0,0.75,,12,białe,,wytrawne,średnie,,False,False,,Chardonnay
Chardonnay St. Valentin St. Michele Eppan,https://www.wina.pl/wina-biale-wytrawne/153-chardonnay-st-valentin-st-michele-eppan.html,195.0,Włochy,Trentino Alto Adige,Alto Adige Chardonnay DOC,St. Michael-Eppan,2020.0,0.75,14.0,10,białe,,wytrawne,pełne,,False,False,93.0,Chardonnay
Chardonnay Terrazas de los Andes Altos del Plata,https://www.wina.pl/wina-biale-wytrawne/3057-chardonnay-terrazas-de-los-andes-altos-del-plata.html,52.0,Argentyna,Mendoza,,Terrazas de los Andes,2018.0,0.75,,12,białe,,wytrawne,,,False,False,,
Chardonnay Winnica Srebrna Góra,https://www.wina.pl/wina-biale-wytrawne/1464-chardonnay-winnica-srebrna-gora.html,73.0,POLSKA,Małopolska,,Winnica Srebrna Góra,2020.0,0.75,12.5,8-10,białe,,wytrawne,średnie,,False,False,,Chardonnay
Charme Niepoort,https://www.wina.pl/wina-czerwone-wytrawne/2542-charme-niepoort.html,401.0,Portugalia,Douro,Douro DOC,Niepoort,2017.0,0.75,13.5,17,czerwone,,wytrawne,pełne,,True,False,,"Tinta Roriz, Touriga Franca"
Chateau Brane Cantenac Grand Cru Classe Margaux AOC,https://www.wina.pl/wina-czerwone-wytrawne/2187-chateau-brane-cantenac-grand-cru-classe-margaux-aoc-.html,949.0,Francja,Bordeaux,Margaux AOC,Chateau Brane Cantenac,2019.0,0.75,,,czerwone,,wytrawne,,Decanter Gold,False,False,96.0,"Merlot, Cabernet Sauvignon, Cabernet Franc"
Chateau Cantenac Brown Brio du Cantenac Brown Margaux AOC,https://www.wina.pl/wina-czerwone-wytrawne/2189-chateau-cantenac-brown-brio-du-cantenac-brown-margaux-aoc-.html,289.0,Francja,Bordeaux,Margaux AOC,Château Cantenac Brown,2019.0,0.75,,,czerwone,,wytrawne,,,False,False,,"Merlot, Cabernet Sauvignon, Cabernet Franc"
Château Citran Haut-Médoc,https://www.wina.pl/wina-czerwone-wytrawne/2516-chateau-citran-haut-medoc.html,199.0,Francja,Bordeaux,Haut Medoc AOC,,2016.0,0.75,,,czerwone,,wytrawne,,,False,False,93.0,"Cabernet Sauvignon, Cabernet Franc, Merlot"
Chateau Clinet Fleur de Clinet Pomerol AOC,https://www.wina.pl/wina-czerwone-wytrawne/2193-chateau-clinet-fleur-de-clinet-pomerol-aoc-.html,359.0,Francja,Bordeaux,Pomerol AOC,Chateau Clinet,2019.0,0.75,,,czerwone,,wytrawne,,,False,False,,"Cabernet Franc, Merlot"
Chateau Clinet Ronan by Clinet Blanc Bordeaux AOC,https://www.wina.pl/wina-biale-wytrawne/2194-chateau-clinet-ronan-by-clinet-blanc-bordeaux-aoc-.html,83.0,Francja,Bordeaux,Bordeaux AOC,Chateau Clinet,2019.0,0.75,,,białe,,wytrawne,,,False,False,,"Semillon, Sauvignon Blanc"
Chateau Clinet Ronan by Clinet Bordeaux AOC,https://www.wina.pl/wina-czerwone-wytrawne/2195-chateau-clinet-ronan-by-clinet-bordeaux-aoc.html,86.0,Francja,Bordeaux,Bordeaux AOC,Chateau Clinet,2016.0,0.75,,18,czerwone,,wytrawne,średnie,,False,False,,Merlot
Chateau Croizet-Bages Grand Cru Clasee Pauillac AOC,https://www.wina.pl/wina-czerwone-wytrawne/2517-chateau-croizet-bages-grand-cru-clasee-pauillac-aoc-2016.html,399.0,Francja,Bordeaux,Pauillac AOC,,2016.0,0.75,,,czerwone,,wytrawne,,,False,False,,"Cabernet Sauvignon, Merlot,  Cabernet Franc"
Château d'Aussières Corbières AOC,https://www.wina.pl/wina-czerwone-wytrawne/2260-chateau-d-aussieres-corbieres-aoc.html,207.0,Francja,Langwedocja (Languedoc),Corbieres AOC,Domaine d'Aussieres,2014.0,0.75,,,czerwone,,wytrawne,,"Mundus Vini Gold, Bruxela Złoto",False,False,,"Syrah, Grenache, Mourvedre, Carignan"
Château de Dracy Pinot Noir Bourgogne AOC,https://www.wina.pl/wina-czerwone-wytrawne/3734-chateau-de-dracy-pinot-noir-bourgogne-aoc.html,175.0,Francja,Burgundia,Bourgogne AOC,,2019.0,0.75,12.5,16-18,czerwone,,wytrawne,średnie,,False,False,,Pinot Noir
Château de Gaudou Grande Lignée Cahors AOC,https://www.wina.pl/weganskie/3876-chateau-de-gaudou-grande-lignee-cahors-aoc.html,79.0,Francja,Francja Południowo-Zachodnia,Cahors AOC,,2018.0,0.75,13.5,16-18,czerwone,,wytrawne,średnie,,True,False,,"Malbec, Merlot"
Château de la Gardine Châteauneuf-du-Pape Rouge AOC,https://www.wina.pl/wina-czerwone-wytrawne/3769-chateau-de-la-gardine-chateauneuf-du-pape-rouge-aoc.html,289.0,Francja,Dolina Rodanu,Châteauneuf du Pape AOC,,2020.0,0.75,14.0,16-18,czerwone,,wytrawne,pełne,,False,False,,"Grenache, Muscardin, Mourvedre / Monastrell, Syrah"
Château de la Gardine Rasteau AOC,https://www.wina.pl/wina-czerwone-wytrawne/3763-chateau-de-la-gardine-rasteau-aoc.html,119.0,Francja,Dolina Rodanu,Rasteau AOC,,2019.0,0.75,14.0,16-18,czerwone,,wytrawne,pełne,,False,False,,"Syrah, Grenache"
Château de la Vieille Chapelle Bouchalès Merlots Vin de France,https://www.wina.pl/naturalne/4050-chateau-de-la-vieille-chapelle-bouchales-merlots-vin-de-france.html,219.0,Francja,Bordeaux,Bordeaux AOC,,2019.0,0.75,12.5,,czerwone,,wytrawne,średnie,,False,True,,"Bouchalès, Merlot"
Château de la Vieille Chapelle Cuvée Réserve AOC Bordeaux,https://www.wina.pl/naturalne/4049-chateau-de-la-vieille-chapelle-cuvee-reserve-aoc-bordeaux.html,136.0,Francja,Bordeaux,Bordeaux AOC,,2019.0,0.75,14.0,,czerwone,,wytrawne,pełne,,False,True,,"Cabernet Franc, Merlot"
Château de la Vieille Chapelle Cuvée Tradition AOC Bordeaux,https://www.wina.pl/naturalne/4048-chateau-de-la-vieille-chapelle-cuvee-tradition-aoc-bordeaux.html,114.0,Francja,Bordeaux,Bordeaux AOC,,2019.0,0.75,13.5,,czerwone,,wytrawne,średnie,,False,True,,"Cabernet Franc, Merlot"
Château de Pape Clementin Clément Pessac Leognan AOC,https://www.wina.pl/wina-czerwone-wytrawne/2231-chateau-de-pape-clementin-clement-pessac-leognan-aoc-.html,299.0,Francja,Bordeaux,Pessac-Leognan AOC,Château Pape Clément,2019.0,0.75,,,czerwone,,wytrawne,pełne,,False,False,,"Merlot, Cabernet Sauvignon"
Château de Roquefort Corail Rose,https://www.wina.pl/wina/2783-chateau-de-roquefort-corail-rose.html,119.0,Francja,Prowansja,Pays des Bouches du Rhône IGP,Château de Roquefort,2021.0,0.75,13.0,,różowe,,wytrawne,średnie,,True,True,,"Grenache, Cabernet Sauvignon, Cinsault"
Château de Roquefort Gueule de Loup,https://www.wina.pl/wina-czerwone-wytrawne/2782-chateau-de-roquefort-gueule-de-loup.html,106.0,Francja,Prowansja,Pays des Bouches du Rhône IGP,Château de Roquefort,2021.0,0.75,13.0,,czerwone,,wytrawne,średnie,,True,True,,"Grenache, Cabernet Sauvignon, Cinsault"
Château de Sales AOC Pomerol,https://www.wina.pl/wina-czerwone-wytrawne/4110-chateau-de-sales-aoc-pomerol.html,279.0,Francja,Bordeaux,Pomerol AOC,,2019.0,0.75,14.0,16-18,czerwone,,wytrawne,pełne,,False,False,93.0,"Merlot, Cabernet Sauvignon, Cabernet Franc"
Chateau du Cedre Cahors,https://www.wina.pl/wina-czerwone-wytrawne/443-chateau-du-cedre-cahors.html,164.0,Francja,Francja Południowo-Zachodnia,Cahors AOC,Chateau du Cedre,2020.0,0.75,13.5,18,czerwone,,wytrawne,pełne,,False,True,,Malbec
Château Duhart-Milon Moulin De Duhart Pauillac AOC,https://www.wina.pl/wina-czerwone-wytrawne/2208-chateau-duhart-milon-moulin-de-duhart-pauillac-aoc.html,416.0,Francja,,,Chateau Duhart-Milon,2020.0,0.75,,,czerwone,,wytrawne,,,False,False,,"Merlot, Cabernet Sauvignon"
Château Haut Brion - Le Clarence de Haut Brion Pessac Leognan AOC,https://www.wina.pl/wina-czerwone-wytrawne/2210-chateau-haut-brion-le-clarence-de-haut-brion-pessac-leognan-aoc-.html,1499.0,Francja,Bordeaux,Pessac-Leognan AOC,Chateau Haut Brion,2016.0,0.75,,,czerwone,,wytrawne,,,False,False,93.0,"Merlot, Cabernet Sauvignon, Cabernet Franc"
Chateau Haut-Bages Liberal Pauillac AOC,https://www.wina.pl/wina-czerwone-wytrawne/2211-chateau-haut-bages-liberal-pauillac-aoc-.html,439.0,Francja,Bordeaux,Pauillac AOC,Château Haut-Bages Liberal,2015.0,0.75,,,czerwone,,wytrawne,,,False,True,92.0,"Merlot, Cabernet Sauvignon"
Chateau ISH Sparkling Rose (bezalkoholowe),https://www.wina.pl/bezalkoholowe/4523-chateau-ish-sparkling-rose-bezalkoholowe.html,69.0,Niemcy,,,IHS,,0.75,0.0,8-10,różowe,musujące,wytrawne,,,True,False,,"Merlot, Pinot Noir"
Chateau ISH Sparkling White (bezalkoholowe),https://www.wina.pl/bezalkoholowe/4522-chateau-ish-sparkling-white-bezalkoholowe.html,69.0,Niemcy,,,IHS,,0.75,0.0,8-10,,musujące,półwytrawne,,,True,False,,"Pinot Bianco, Silvaner"
Chateau Kirwan Margaux AOC,https://www.wina.pl/wina-czerwone-wytrawne/2212-chateau-kirwan-margaux-aoc.html,569.0,Francja,Bordeaux,Margaux AOC,Château Kirwan,2019.0,0.75,,,czerwone,,wytrawne,,,False,False,92.5,"Cabernet Sauvignon, Cabernet Franc, Merlot"
Chateau Lacoste Borie Pauillac,https://www.wina.pl/wina-czerwone-wytrawne/173-chateau-lacoste-borie-pauillac.html,299.0,Francja,Bordeaux,Pauillac AOC,Chateau Grand Puy Lacoste,2019.0,0.75,13.5,18,czerwone,,wytrawne,pełne,,False,False,93.0,Cabernet Franc
Château Lafite Rothschild - Carruades De Lafite Pauillac AOC,https://www.wina.pl/wina-czerwone-wytrawne/2217-chateau-lafite-rothschild-carruades-de-lafite-pauillac-aoc-.html,3490.0,Francja,Bordeaux,Pauillac AOC,Chateau Lafite Rothschild,2015.0,0.75,,,czerwone,,wytrawne,,,False,False,,"Merlot, Cabernet Sauvignon, Cabernet Franc"
Château Lafite Rothschild Premiere Cru Classe Pauillac AOC,https://www.wina.pl/wina-czerwone-wytrawne/2518-chateau-lafite-rothschild-premiere-cru-classe-pauillac-aoc.html,9999.0,Francja,Bordeaux,Pauillac AOC,,2010.0,0.75,,,czerwone,,wytrawne,,,False,False,100.0,"Cabernet Sauvignon, Merlot."
Chateau Lagrange,https://www.wina.pl/wina-czerwone-wytrawne/1775-chateau-lagrange.html,479.0,Francja,Bordeaux,Saint-Julien AOC,Chateau Lagrange,2019.0,0.75,,18,czerwone,,wytrawne,pełne,Decanter Gold,False,False,94.333336,Cabernet Sauvignon
Chateau Lynch-Bages Echo de Lynch-Bages Pauillac AOC,https://www.wina.pl/wina-czerwone-wytrawne/2221-chateau-lynch-bages-echo-de-lynch-bages-pauillac-aoc.html,529.0,Francja,Bordeaux,Pauillac AOC,Chateau Lynch-Bages,2016.0,0.75,,16-18,czerwone,,wytrawne,,,False,False,90.0,"Merlot, Cabernet Sauvignon, Cabernet Franc"
Chateau Mautain Monbazillac AOP,https://www.wina.pl/polslodkie/4176-chateau-mautain-monbazillac-aop.html,88.0,Francja,Francja Południowo-Zachodnia,Monbazillac AOC,Château Mautain,2020.0,0.75,12.0,14,białe,,półsłodkie,średnie,,False,False,,"Semillon, Sauvignon Blanc, Muscadelle"
Château Menate Sauternes AOC,https://www.wina.pl/slodkie/4177-chateau-menate-sauternes-aoc.html,135.0,Francja,Bordeaux,Sauternes AOC,,2019.0,0.75,13.0,8-10,białe,,słodkie,,,False,False,,"Semillon, Sauvignon Blanc, Muscadelle"
Château Miraval Miraval Rosé Côtes de Provence AOP,https://www.wina.pl/organiczne/3557-chateau-miraval-miraval-rose-cotes-de-provence-aop.html,209.0,Francja,Prowansja,Côtes de Provence AOC,,2021.0,0.75,13.5,16,różowe,,wytrawne,średnie,,True,True,90.666664,"Rolle, Grenache, Carignan, Cinsault"
Chateau Mouton Rothschild Cru Classe,https://www.wina.pl/wina-czerwone-wytrawne/1422-chateau-mouton-rothschild-1-er-cru-classe.html,4450.0,Francja,Bordeaux,Pauillac AOC,Chateau Mouton Rothschild,2011.0,0.75,13.0,18,czerwone,,wytrawne,pełne,,False,False,95.0,
Chateau Mukhrani Saperavi,https://www.wina.pl/wina-czerwone-wytrawne/2227-chateau-mukhrani-saperavi.html,100.0,Gruzja,,,Chateau Mukhrani,2019.0,0.75,,16-18,czerwone,,wytrawne,pełne,,False,False,,Saperavi
Château Mukhrani Sauvignon Blanc Late Harvest,https://www.wina.pl/wina/2226-chateau-mukhrani-sauvignon-blanc-late-harvest.html,88.0,Gruzja,,,Chateau Mukhrani,2019.0,,,,białe,,półwytrawne,,,False,False,,Sauvignon Blanc
Chateau Mukhrani Schavkapito,https://www.wina.pl/wina-czerwone-wytrawne/2825-chateau-mukhrani-schavkapito.html,104.0,Gruzja,,,Chateau Mukhrani,2019.0,0.75,,16,czerwone,,wytrawne,pełne,IWC Bronze,False,False,,Shavkapito
Chateau Musar,https://www.wina.pl/wina-czerwone-wytrawne/2954-chateau-musar.html,319.0,Liban,Bekaa Valley,,Gaston Hochar,2016.0,0.75,14.0,18,czerwone,,wytrawne,pełne,,False,True,,"Cinsault, Cabernet Sauvignon, Carignan"
Chateau Musar,https://www.wina.pl/wina-czerwone-wytrawne/175-chateau-musar.html,479.0,Liban,Bekaa Valley,,Gaston Hochar,2000.0,0.75,14.5,18,czerwone,,wytrawne,pełne,,False,True,,"Cinsault, Cabernet Sauvignon, Carignan"
Chateau Musar White,https://www.wina.pl/wina-biale-wytrawne/2832-chateau-musar-white.html,288.0,Liban,Bekaa Valley,,Gaston Hochar,2016.0,0.75,13.0,10,białe,,wytrawne,pełne,,True,True,,"Merwah, Obaideh"
Château Palmer Alter Ego de Palmer Margaux AOC,https://www.wina.pl/wina-czerwone-wytrawne/2230-chateau-palmer-alter-ego-de-palmer-margaux-aoc.html,991.0,Francja,Bordeaux,Margaux AOC,Château Palmer,2019.0,0.75,,16-18,czerwone,,wytrawne,pełne,Decanter Gold,False,False,92.333336,"Merlot, Cabernet Sauvignon"
Château Phélan-Ségur Frank Phélan Saint-Estephe AOC,https://www.wina.pl/wina-czerwone-wytrawne/2234-chateau-phelan-segur-frank-phelan-saint-estephe-aoc-.html,227.0,Francja,Bordeaux,Sainte Estephe AOC,Château Phélan-Ségur,2016.0,0.75,,,czerwone,,wytrawne,,,False,False,90.0,"Cabernet Sauvignon, Merlot."
Château Rieussec Carmes de Rieussec Sauternes AOC,https://www.wina.pl/biale/2520-chateau-rieussec-carmes-de-rieussec-sauternes-aoc-.html,265.0,Francja,Bordeaux,Sauternes AOC,,2020.0,0.75,,,białe,,słodkie,,,False,False,,"Muscadelle, Semillon"
Château Rieussec Premiere Cru Classe Sauternes AOC,https://www.wina.pl/biale/2522-chateau-rieussec-premiere-cru-classe-sauternes-aoc.html,569.0,Francja,Bordeaux,,,2016.0,0.75,13.5,,białe,,słodkie,,,False,False,96.0,"Sauvignon Blanc, Muscadelle, Semillon"
Château Rieussec “R de Rieussec Blanc Sec Bordeaux AOC,https://www.wina.pl/wina-biale-wytrawne/2521-chateau-rieussec-r-de-rieussec-blanc-sec-bordeaux-aoc.html,249.0,Francja,Bordeaux,,,2021.0,0.75,,,białe,,wytrawne,,,False,False,,"Sauvignon Blanc, Semillon"
Château Tanunda 100 Year Old Vines Shiraz Barossa Valley,https://www.wina.pl/wina-czerwone-wytrawne/3633-chateau-tanunda-100-year-old-vines-shiraz-barossa-valley.html,735.0,Australia,,Barossa Valley,,2018.0,0.75,15.0,16-18,czerwone,,wytrawne,pełne,,False,False,93.0,Shiraz
Château Tanunda Grand Barossa Cabernet Sauvignon Barossa Valley,https://www.wina.pl/wina-czerwone-wytrawne/3634-chateau-tanunda-grand-barossa-cabernet-sauvignon-barossa-valley.html,119.0,Australia,,Barossa Valley,,2019.0,0.75,14.5,16-18,czerwone,,wytrawne,pełne,"IWC Silver, Berliner Gold",False,False,,Cabernet Sauvignon
Châtelet de Gaudou Tradition Cahors AOC,https://www.wina.pl/weganskie/3875-chatelet-de-gaudou-tradition-cahors-aoc.html,65.0,Francja,Francja Południowo-Zachodnia,Cahors AOC,,2019.0,0.75,13.5,16-18,czerwone,,wytrawne,średnie,,True,False,,"Malbec, Tannat, Merlot"
Chenin Blanc Kleine Zalze,https://www.wina.pl/wina-biale-wytrawne/1835-chenin-blanc-kleine-zalze.html,49.0,RPA,Stellenbosch,,Kleine Zalze,2022.0,0.75,13.0,11,białe,,wytrawne,średnie,,False,False,,Chenin Blanc
Chenin Blanc Vineyard Selection Kleine Zalze,https://www.wina.pl/wina-biale-wytrawne/2594-chenin-blanc-vineyard-selection-kleine-zalze.html,68.0,RPA,Stellenbosch,,Kleine Zalze,2022.0,0.75,13.0,11,białe,,wytrawne,średnie,,False,False,,Chenin Blanc
Chianti Classico Fattoria di Felsina,https://www.wina.pl/wina-czerwone-wytrawne/116-chianti-classico-fattoria-di-felsina.html,135.0,Włochy,Toskania,Chianti Classico DOCG,Fattoria Felsina,2019.0,0.75,13.5,18,czerwone,,wytrawne,średnie,,False,False,91.0,Sangiovese
Chianti Classico Riserva Berardenga Fattoria Felsina,https://www.wina.pl/wina-czerwone-wytrawne/511-chianti-classico-riserva-berardenga-fattoria-felsina.html,232.0,Włochy,Toskania,Chianti Classico DOCG,Fattoria Felsina,2018.0,0.75,,18,czerwone,,wytrawne,pełne,,False,False,92.0,Sangiovese
Chianti Classico Riserva Rancia Felsina,https://www.wina.pl/wina-czerwone-wytrawne/115-chianti-classico-riserva-rancia-felsina.html,392.0,Włochy,Toskania,Chianti Classico DOCG,Fattoria Felsina,2017.0,0.75,14.5,18,czerwone,,wytrawne,pełne,,False,False,,Sangiovese
Chianti Colli Senesi Felsina,https://www.wina.pl/wina-czerwone-wytrawne/164-chianti-colli-senesi-felsina.html,79.0,Włochy,Toskania,Chianti Colli Senesi DOCG,Fattoria Felsina,2018.0,0.75,13.0,17,czerwone,,wytrawne,średnie,,False,False,,Merlot
Chianti Colli Senesi Riserva DOCG Felsina,https://www.wina.pl/wina-czerwone-wytrawne/2925-chianti-colli-senesi-riserva-docg-felsina.html,115.0,Włochy,Toskania,Chianti Colli Senesi DOCG,Fattoria Felsina,2018.0,0.75,13.0,18,czerwone,,wytrawne,średnie,,False,False,,"Cabernet Sauvignon, Sangiovese, Merlot"
Chianti Fattoria dei Barbi,https://www.wina.pl/wina-czerwone-wytrawne/1590-chianti-fattoria-dei-barbi.html,72.0,Włochy,Toskania,Chianti DOCG,Fattoria dei Barbi,2020.0,0.75,13.5,16-18,czerwone,,wytrawne,lekkie,,False,False,,Sangiovese
Chianti Rufina DOCG Fattoria Selvapiana,https://www.wina.pl/wina-czerwone-wytrawne/1668-chianti-rufina-docg-fattoria-selvapiana.html,115.0,Włochy,Toskania,Chianti Rufina DOCG,Fattoria Selvapiana,2017.0,0.75,14.0,16-18,czerwone,,wytrawne,średnie,,False,False,,Sangiovese
Christoph Hoch Hollenburger Riesling Kremstal NV,https://www.wina.pl/naturalne/3880-christoph-hoch-hollenburger-riesling-kremstal.html,137.0,Austria,Kremstal,,,,,12.0,,białe,,wytrawne,lekkie,,False,True,,Riesling
Christoph Hoch Kalkspitz Pét-Nat Nature Hollenburg NV,https://www.wina.pl/pet-nat/3878-christoph-hoch-kalkspitz-pet-nat-nature-hollenburg.html,155.0,Austria,Kremstal,,,,,12.5,,,musujące,wytrawne,średnie,,False,True,,"Riesling, Grüner Veltliner"
Christoph Hoch Rosé Rurale Pét-nat Hollenburg NV,https://www.wina.pl/pet-nat/3879-christoph-hoch-rose-rurale-pet-nat-hollenburg.html,164.0,Austria,Kremstal,,,,,10.5,,różowe,musujące,wytrawne,średnie,,False,True,,"Muscat, Zweigelt"
Cline Cellars Ancient Vines Zinfandel Contra Costa County,https://www.wina.pl/wina-czerwone-wytrawne/2236-cline-cellars-ancient-vines-zinfandel-contra-costa-county.html,135.0,USA,Kalifornia,,Cline Family Cellars,2020.0,0.75,,,czerwone,,wytrawne,,,False,False,,Zinfandel
Cline Cellars Old Vine Zinfandel Lodi,https://www.wina.pl/wina-czerwone-wytrawne/2237-cline-cellars-old-vine-zinfandel-lodi.html,108.0,USA,Kalifornia,,Cline Family Cellars,2018.0,0.75,,,czerwone,,wytrawne,,,False,False,,Zinfandel
Cline Cellars Pinot Noir Sonoma County,https://www.wina.pl/wina-czerwone-wytrawne/2238-cline-cellars-pinot-noir-sonoma-county.html,173.0,USA,Kalifornia,,Cline Family Cellars,2018.0,0.75,,,czerwone,,wytrawne,,,False,False,,Pinot Noir
Cline Cellars Chardonnay Sonoma County,https://www.wina.pl/wina-biale-wytrawne/2239-cline-cellars-chardonnay-sonoma-county.html,128.0,USA,Kalifornia,,Cline Family Cellars,2018.0,0.75,,,białe,,wytrawne,,,True,False,,Chardonnay
Cline Cellars Syrah Los Carneros Single Vineyard,https://www.wina.pl/wina-czerwone-wytrawne/2240-cline-cellars-syrah-los-carneros-single-vineyard.html,165.0,USA,Kalifornia,,Cline Family Cellars,2019.0,0.75,,,czerwone,,wytrawne,,,False,False,,Syrah
Cline Cellars Viognier North Coast California,https://www.wina.pl/wina-biale-wytrawne/2241-cline-cellars-viognier-north-coast-california.html,108.0,USA,Kalifornia,,Cline Family Cellars,2018.0,0.75,,,białe,,wytrawne,,,False,False,,Viognier
Cline Cellars Zinfandel Meadowbrook Ranch Single Vineyard Tehama County,https://www.wina.pl/wina-czerwone-wytrawne/2242-cline-cellars-zinfandel-meadowbrook-ranch-single-vineyard-tehama-county.html,219.0,USA,Kalifornia,,Cline Family Cellars,2015.0,0.75,,,czerwone,,wytrawne,,,False,False,,Zinfandel
Clos de l’Oratoire Saint Emilion AOC,https://www.wina.pl/wina-czerwone-wytrawne/2243-clos-de-loratoire-saint-emilion-aoc-.html,449.0,Francja,Bordeaux,Saint Emilion AOC,Clos de l'Oratoire,2016.0,0.75,,,czerwone,,wytrawne,,,False,False,93.0,"Merlot, Cabernet Franc"
Clos Forano Pet Nat Fever Forlì IGT,https://www.wina.pl/naturalne/3399-clos-forano-pet-nat-fever-forli-igt.html,119.0,Włochy,Emiglia Romana,Forlì IGT,,2019.0,0.75,12.0,10-12,,musujące,wytrawne,średnie,,True,True,,Sangiovese
Cloudy Bay Pinot Noir,https://www.wina.pl/wina-czerwone-wytrawne/3046-cloudy-bay-pinot-noir-.html,219.0,Nowa Zelandia,Marlborough,,Cloudy Bay,2020.0,0.75,13.5,16,czerwone,,wytrawne,lekkie,,False,False,,Pinot Noir
Cloudy Bay Sauvignon Blanc,https://www.wina.pl/wina-biale-wytrawne/3045-cloudy-bay-sauvignon-blanc.html,179.0,Nowa Zelandia,Marlborough,,Cloudy Bay,2022.0,0.75,13.5,11,białe,,wytrawne,średnie,,False,False,,Sauvignon Blanc
"COLET Gran Cuvée Extra Brut, Clàssic Penedès",https://www.wina.pl/organiczne/4043-colet-gran-cuvee-extra-brut-classic-penedes.html,115.0,Hiszpania,Penedes,,,2018.0,0.75,12.0,8,,musujące,wytrawne,średnie,,False,True,91.0,"Chardonnay, Macabeo, Xarel.lo"
"COLET Tradicional Extra Brut Reserva, Clàssic Penedès",https://www.wina.pl/organiczne/4042-colet-tradicional-extra-brut-reserva-classic-penedes.html,95.0,Hiszpania,Penedes,,,2018.0,0.75,12.0,8,,musujące,wytrawne,średnie,,False,True,90.0,"Xarel.lo, Parellada, Macabeo"
Combeval Grande Cuvée Gros Manseng Moelleux IGP Cotes de Gascogne,https://www.wina.pl/wina-biale-polslodkie/2352-combeval-grande-cuvee-gros-manseng-moelleux-igp-cotes-de-gascogne.html,49.0,Francja,,,LGI Languedoc Wines,2022.0,0.75,,,białe,,półsłodkie,,,False,False,,Gros Manseng
Combeval Grande Reserve Alicante IGP Pays d`Oc Rouge,https://www.wina.pl/wina-czerwone-polwytrawne/2353-combeval-grande-reserve-alicante-igp-pays-doc-rouge.html,49.0,Francja,Langwedocja (Languedoc),Vin de Pays D Oc,LGI Languedoc Wines,2021.0,0.75,,,czerwone,,półwytrawne,,,False,False,,Alicante Bouschet
Condado de Haza 20 Aldeas Ecologico Castilla VdT,https://www.wina.pl/organiczne/3302-condado-de-haza-20-aldeas-ecologico-castilla-vdt.html,125.0,Hiszpania,Ribera del Duero,Castilla VdT,,2018.0,0.75,14.0,16-18,czerwone,,wytrawne,średnie,,True,True,,Tempranillo
Condado de Haza Crianza Ribera del Duero DO,https://www.wina.pl/czerwone/3300-condado-de-haza-crianza-ribera-del-duero-do.html,109.0,Hiszpania,Ribera del Duero,Ribera del Duero DO,,2019.0,0.75,14.0,14,czerwone,,wytrawne,średnie,,False,False,,Tempranillo
